HUC,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SANTA CRUZ AMA,524.53,370.38,299.81,434.75,765.55,570.19,626.7,518.32,512.84,374.06,502.32,545.33,449.29,591.22,338.61,440.7,432.57,396.35,565.56,364.59,386.38,394.02,495.95,273.69,372.22,555.53,513.73,320.15,431.03,519.09,714.18,457.44,388.86,400.73,557.31,411.74,441.33,386.27,430.54,502.58,484.81,313.65,330.01,482.04,349.94,459.99,288.12,363.67,408.63,301.26,508.78,472.2,260.32,519.09,436.08,249.99,385.65,529.72,428.91,423.23,454.02,356.93,402.94,540.05,510.49,536.96,552.51,349.8,424.56,343.73,509.56,421.78,351.56,445.22,375.44,433.19,529.07,675.51,368.05,335.3,508.36,444.5,796.23,732.98,544.42,459.22,521.82,543.84,323.34,579.83,465.14,601,650.64,519.92,378.04,339.7,440.47,508.3,349.21,575.3,448.48,262.68,422.74,361.36,341.72,406.41,444.31,433.43,294.24,502.18,303.34,349.42,346.87,483.4,526.95,443.96,351.44,492.19,482.32,276.37,456.78,485.32
SAN BERNARDINO VALLEY,337.44,230.02,256.44,272.11,701.68,412.28,468.19,361.16,342.31,297.2,477.14,374.12,395.09,582.71,365.56,411.63,287.36,308.82,572.11,283.54,331.55,350.16,472.77,236.99,380.96,580.38,433.86,345.74,363.13,508.51,533.76,372.54,339.1,335.56,310.97,272.87,367.41,311.32,350.57,410.11,524.5,336.98,367.08,384.36,302.09,311.63,277.92,311.99,433.39,267.81,352.14,357.74,206.45,297.92,361.65,168.9,377.09,448.07,416.36,370.96,401.02,313.54,386.18,398.99,421,395.62,455.1,323.28,331.53,261.22,449.09,441.93,274.54,354.59,326.36,329.45,517.58,494.44,297.77,263.95,417.41,421.55,599.82,539.25,507.21,532.77,455.78,530.5,277.89,462.07,516.9,476.64,457.87,423.71,316.7,361.49,417.68,331.03,333.3,521.87,330.52,283.45,226.36,367.02,293.42,316.72,389.22,305.26,284.76,399.47,288.48,262.44,365.72,469.63,415.78,376.46,309.03,421.99,488.58,211.38,396.76,467.57
SAN RAFAEL,525.18,390.5,367.83,506.22,932.58,532.81,659.31,497.91,421.81,410.55,549.53,640.14,472.23,837.29,422.37,506.63,433.68,392.01,681.78,528.09,445,465.08,625.12,326.87,432.48,662.3,601.14,423.2,532.79,588.17,750.57,493.83,472.37,480.03,581.51,477.8,429.94,374.88,485.83,536.03,516.55,372.19,479.44,518.08,426.64,505.56,324.87,447.17,500.43,378.6,567.79,545.77,299.47,524.18,468.8,288.22,415.91,624.41,464.58,409.44,519.55,349.04,470.5,546.72,532.24,564.7,576.98,413.3,470.18,403.74,524.13,452.75,399.23,461.34,447.93,438.55,545.88,688.83,366.17,356.77,487.48,495.95,751.7,743.8,630.63,564.44,537.19,601.82,306.5,600.77,489.22,665.19,610,555.93,376.98,342.6,474.67,520.61,372.6,659.38,497.87,329.48,441.48,435.14,354.46,444.17,532.11,546,327.36,620.17,332.57,391.76,345.02,560.45,553.81,505.06,358.47,471.6,587.95,330.25,464.81,604.06
TIGER WASH,183.16,169.51,139.86,174.52,516.56,280.12,258.8,286.98,280.25,176.73,266.74,234.49,212.94,305.51,296.56,308.73,224.56,301.1,344.72,269.57,240.41,221.22,334.88,119.53,223.59,320.1,291.41,137.01,157.81,277.4,406.41,255.85,209.49,164.13,364.77,248.05,256.14,214.99,266.76,259.57,469.81,153.87,228.18,242.27,203.94,241.77,136.13,155.15,225.52,114.28,352.26,301.11,120.04,183.44,237.26,77.31,263.36,227.54,270.16,143.54,139.95,178.22,214.3,163.79,393.35,193.54,278.48,167.17,228.54,247.7,168.99,237.03,176.05,214.08,143,230.89,151.48,427.88,236.02,282.77,242.95,358.12,405.06,265.5,238.14,230.1,240.23,254.1,181.34,242.42,223.38,376.2,386.66,173.23,207.46,89.42,186.49,297.67,205.86,278.45,177.12,83.16,287.31,310.29,269.56,107.19,178.54,215.08,82.17,273.83,136.1,138.86,234.21,213.55,196.1,187.71,182.61,190.79,303.98,152.47,208.43,212.64
VIRGIN RIVER,241.54,201.25,216.1,223.3,339.05,381.99,327.78,300.02,361.19,209.04,286.26,243.44,243.66,281.28,283.12,347.7,222.58,305.15,234.59,298.5,291.36,271.15,249.21,188.81,271.11,230.63,318.89,171.86,196.86,278.64,255.02,282.59,188.57,167.87,247.94,299.1,256.48,278.92,254.87,303.23,435.55,134.07,269.64,216.36,261.97,278.77,179.79,183.69,269.94,122.44,255.03,262.34,136.99,249,207.6,97.07,338.4,264.81,187.71,207.67,200.41,191.01,212.04,154.02,354.46,205.53,279.2,178.42,333.84,225.65,257,227.62,251.88,203.16,224.09,213.09,188.59,468.47,252.35,382.67,241.54,322.6,391.86,271.83,220.1,223.73,322.04,237.85,148.61,259.14,221.7,370.92,356.64,261.04,346.4,218.6,260.31,411.12,168.82,240.29,220.99,89.48,217.19,378.67,374.01,210.43,189.35,212.87,153.73,412.2,210.28,254.16,226.68,215.09,255.47,310.78,205.97,230.39,400.04,130.55,245.22,203.76
SHIVWITS PLATEAU,242.24,225.78,226.08,258.47,385.53,435.28,389.39,350.08,425.73,272.31,334.74,295.04,265.89,332.94,314.02,392.58,241.48,336.38,294.61,316.51,359.24,295.87,297.96,230.92,303.91,273,386.01,193.1,238.49,297.22,301.37,288.15,226.03,198.97,283.5,357.28,277.65,323.35,320.95,359.65,476.77,175.15,323.61,221,312.27,327.95,226.18,217.83,310.31,162.27,314.66,317.94,203.69,261.83,249.7,124.34,383.38,322.74,223.03,229.74,265,216.99,251.14,197.1,407.16,259.08,344.77,222.32,373.16,270.14,287.97,283.97,268.56,234.43,260.76,257.79,228.95,487.69,279.69,413.66,363.3,388.69,418.48,331.71,254.4,299.71,357.84,288.59,163.25,306,294.63,403.44,386.17,258.78,350.92,241.83,310.18,456.08,212.51,268.31,250.2,132.66,267.26,406.19,387.95,241.97,242.76,253.72,171.7,421.14,233.21,265.01,267.82,228.57,338.98,380.56,253.11,263.8,383.87,120.04,246.99,241.14
KANAB PLATEAU,289.5,292.62,286.33,266.51,466.62,505.22,503.88,410.37,489.59,322.77,413.38,358.37,332.69,402.17,370.15,467.73,282.87,414.01,366.82,406.62,430.79,367.57,372.72,315.41,362.3,343.17,476.63,258.39,301.66,350.86,350.89,338.44,274.04,253.69,346.7,424.7,381.77,397.27,365.18,453,568.01,232.75,368.79,292.12,378.25,400.39,281.99,274.16,388.81,199.96,372.86,398.98,254.97,337.33,277.36,165.59,479.86,379.7,271.94,298.31,324.98,292.59,308.35,264.55,481.18,321.81,390.42,276.03,447.6,323.96,329.81,332.38,344.1,278.5,329.05,276,263.13,597.89,366.69,524.08,441.26,507.34,523.48,386.22,375.85,360.22,434.08,339.12,204.4,313.69,319.82,507.77,510.17,320.64,462.8,316.39,399.64,512.69,282.18,349.5,311.03,202.38,319.37,510.05,481.82,332.31,254.62,334.56,207.57,513.16,279.96,304.18,360.59,264.49,451.53,411.2,300.61,322.54,457.31,161.5,321.06,300.62
LITTLE COLORADO RIVER PLATEAU,230.72,214.83,206.01,212.05,479.65,363.57,366.25,339.49,319.93,232.67,382.71,247.72,269.39,347.33,347.07,354.26,220.96,284.85,355.02,285.65,307.73,252.43,375.37,213.73,300.62,315.59,377.03,235.84,304.13,276.11,370.24,268.92,272.65,227.49,310.39,313.58,284.25,264.63,241.23,382.65,473.94,218.11,243.36,254.79,228.41,273.53,268.09,261.09,300.73,144.13,260.77,333.75,205.13,262.46,233.45,161.87,366.11,269.97,274.09,220.05,278.96,231.87,243.4,260.79,399.72,236.71,296.16,238.74,301.04,240.59,269.94,314.05,250.92,242.37,255.65,228.18,252.97,398.96,275.69,309.68,295.61,383.13,359.99,338.54,350.64,330.02,322.93,290.48,166.02,291.2,276.08,391.23,332.61,276.15,253.43,210.59,328.79,314.29,246.97,246.41,223.25,192.07,205.09,277.4,275.25,244.54,271.5,257.18,158.95,330.25,241.18,186.55,280.84,207.14,387.3,272.14,215.99,227.28,291.28,139.43,259.12,303.7
PARIA,211.74,217.57,221.8,227.18,379.28,402.8,363.91,329.64,366.24,264.65,337.22,286.83,255.57,324.42,299.98,372.04,231.68,296.93,270.02,309.81,306.02,278.25,286.73,212.56,292.67,250.46,365.04,205.91,250.54,271.43,243.23,270.64,204.54,196.16,260.17,309.63,286.08,297.53,256.05,355.97,445.71,183.72,250.44,215.85,259.9,291.33,228.68,226.02,278.45,148.31,266.06,297.31,201.87,255.3,199.5,127.45,374.17,253.89,207.62,224.81,246.63,218.24,229.85,180.24,369.72,215.33,287.01,204.8,321.06,230.22,232.88,285.65,243.49,196.59,235.09,201.93,179.71,412.81,274.15,385.49,335.23,341.01,369.98,246.67,278.82,279.85,327.8,225.31,157.59,246.64,228.22,383.31,380.91,238.08,300.34,210.32,322.69,364.52,200.02,273.58,236.82,146.88,192.12,384.3,349.32,275.89,202.8,238.58,170.13,380.33,223.14,212.46,298.12,175.8,349,269.31,215.56,244.52,318.21,110.89,217.13,207.13
GRAND WASH,234.66,205.48,200.7,227.72,345.33,390.37,331.61,303,361.92,222.74,291.41,250.01,235.06,288.2,284.48,342.38,218.72,304.7,244.23,294.62,300.4,273.47,258.02,191.99,268.77,236.71,327.06,169.14,199.49,265.85,265.21,269.64,187.97,173.26,247.93,302.56,253.25,290.71,267.36,311.68,436.13,142.03,274.77,208.98,263.99,290.31,191.21,184.74,280.9,127.33,266.61,277.75,146.32,239.89,216.72,101.12,340.5,276.39,194.43,206.97,210.35,192.89,218.22,155.7,371.98,216.66,281.98,187.22,332.95,236.55,244.86,244.26,245.76,203.9,223.94,229.45,194.63,467.08,255.75,380.63,265.68,333.46,384.67,266.59,215.89,231.88,316.88,241.83,134.63,260.9,240.53,376.03,354.49,242.16,314.19,215.22,261.24,414.84,179.72,226.96,223.39,89.95,235.18,378.1,349.03,197.45,193.59,211.48,146.6,391.5,208.05,239.46,203.96,187.79,274.32,317.2,216.34,234.16,356.08,108.94,213.51,193.19
COCONINO PLATEAU,270.79,257.63,250.75,260.49,523.14,473.18,534.05,414.89,435.92,287.91,418.06,307.55,293.38,367.7,376.52,432.44,288.26,375.84,416.35,357.94,409.52,336.13,383.67,277.7,375.48,337.55,482.69,243.2,289.94,356.08,382.1,319.32,298.9,255.72,353.57,397.22,365.59,354.46,371.53,465.76,530.74,224.38,339.23,281.51,322.19,376.9,260.95,258.82,385.62,196.1,354.03,401.95,234.73,318.06,288.32,170.47,449.67,388.44,300.1,306.4,317.2,265.45,298.42,279.65,515.85,309.71,362.71,272.66,408.16,327.73,315.06,377.7,304.85,276.46,295.85,295.51,275.96,533.95,334.75,448.45,419.38,474.61,480.96,342.06,382.94,391.8,423.32,342.34,215.35,422.42,366.53,484.79,451.23,314.9,364.56,251.77,390.66,456.64,329.85,311.14,288.52,203.58,300.18,433,393.39,284.78,286.24,328.56,209.99,409.1,283.64,288.4,345.05,254.33,444.42,388,292.87,316.32,393.98,149.73,320.55,311.58
HUALAPAI VALLEY,199.63,178.3,161.37,200.94,405.17,345.11,285.14,322.26,339.76,219.22,247.31,219.37,173.1,260.53,291.12,282.91,200.99,302.92,316.95,288.45,296.28,270.15,240.81,150.03,257.32,227.66,313.74,131.86,175.83,243.45,329.68,245.3,166.6,177.1,239.56,281.36,228.52,247.32,305.54,346.09,411.31,136.4,242.33,203.43,207.95,243.08,126.54,174.91,252.9,120.73,291.75,285.35,142.23,218,226.77,79.71,287.81,274.23,224.71,197.56,178.8,175.64,199.78,152.39,392.34,195.85,259.17,159.3,281.7,212.79,209.73,252.9,230.64,183.27,171.27,259.49,185.48,445.68,253.05,293.58,238.34,300.36,360.34,266.8,213.24,256.93,277.57,245.27,112.28,314.35,276.71,366.84,345.14,207.37,190.98,117.03,208.87,310.25,178.14,169.81,197.63,90.08,214.31,340.36,300.19,162.38,160.39,179.86,122.31,301.77,182.93,193.42,192.33,207.64,218.09,287.93,198.86,194.78,282.58,104.74,171.92,187.9
MEADVIEW,214.23,195.21,177.62,219.57,333.99,369.31,296.2,290.37,339.93,217.16,268.45,232.05,203.61,268.62,269.09,309.34,203.82,291.48,239.96,272.19,278.27,252.85,241.38,170.48,257.6,221.83,316.04,152.43,188.09,243.87,263.22,246.83,169.6,168.19,227.1,285.57,227.87,268.18,254.38,300.55,404.3,135.05,251.67,182.65,239.58,261.44,169.46,178.76,259.96,116.23,274.12,292.86,99.82,236.68,252.67,98.23,294.05,268.08,197.83,197.7,198.66,167.3,199.36,139.5,408.4,222.35,240.18,163.77,285.8,221.23,212.99,250.42,232.81,190.95,204.02,233.66,181.03,460.22,240.55,307.1,238.09,294.13,370.77,218.9,206.23,278.02,308.68,258.94,131.39,323.22,292.12,354.59,343.64,238.21,223.17,143.05,201.48,350.77,174.05,166.22,227.1,90.22,230.03,375.99,278.47,140.45,177.75,186.35,127.97,302.44,178.06,199.87,164.4,176.54,236.99,299.59,182.28,206.72,294.3,80.84,162.11,156.58
DETRITAL VALLEY,179.36,147.66,132.15,180.97,343.99,297.13,228.05,262.49,284.48,180.44,212.21,176.8,145.86,220.41,245.61,238.26,167.56,257.28,248.61,242.57,232.95,226.57,186.44,116.47,217.05,192.41,255.73,102.33,133.46,199.36,278.64,202.09,128.99,142.21,193.11,228.22,185.22,205.1,251.26,269.07,352.51,97.98,209.13,164.76,178.65,198.7,105.56,124.91,201.55,85.95,222.1,230.04,98.11,177.98,171.59,57.06,233.58,214.71,179.56,160.14,129.14,124.9,147.04,92.17,317.19,144.15,194.01,112.23,207.56,162.7,150.5,173.2,176,153.69,140.96,222.06,158.26,368.1,207.2,256.53,178.51,248.72,293.07,261.19,144.29,176.02,217.26,164.33,75.13,199.91,208.44,329.47,271.77,129.65,159.38,99.9,159.96,264.14,142.73,113.07,160.82,57.77,179.79,302.01,271.49,112.65,107.85,122.74,85.54,261.51,149.65,155.25,148.21,133.27,152.81,218.08,148.51,155.7,238.32,88.12,129.41,130.03
LAKE MOHAVE,155.76,129.98,107.64,168.34,360.59,265.62,214.8,259.05,276.16,188.25,191.87,158.46,109.19,198.86,236.11,227.34,150.73,262.26,287.93,255.73,249.55,228.82,179.67,90.59,197.79,194.28,249.54,78.81,111.66,176.39,323.92,180.44,123.59,149.9,205.15,205.42,186.78,192.12,286.62,270.39,360.34,88.66,201.45,173.48,164.24,187.45,87.16,108.27,173.95,62.09,216.65,210.76,78.79,154.9,135.7,31.65,201.08,193.01,180.32,135.65,100.52,94.56,137.42,70.38,294.79,114.08,152.48,91.5,159.2,124.31,119.61,133.94,151.42,141.64,99.14,217.36,134.94,330.29,196.56,233.95,157.13,224.33,273.8,236.1,123.21,171,168.79,161.65,61.86,159.81,194.3,309.08,263.62,122.89,146.34,72.82,146.51,240.77,107.58,88.08,132.73,40.07,163.46,249.62,251.32,90.32,92.58,137.51,76.56,237.85,127.31,148.12,133.93,115.23,137.38,168.72,111.83,115.09,220.55,81.67,86.12,114.63
PEACH SPRINGS,253.92,238.29,219.89,252.84,471.6,423.95,381.1,371.55,411.41,271.54,328.99,263.88,251.35,329.32,345.73,380.46,253.63,337.04,365.34,323.24,399.9,304.17,304.49,220.32,328.77,282.9,413.81,189.54,230.01,323.69,367.16,298.14,238.12,225.09,292.01,359.8,294.66,315.43,369.22,426.04,482.14,191.93,306.06,238.85,281.93,312.09,196.69,220.12,332.47,173.48,358.89,359.96,213.78,276.95,293.06,131.11,379.24,366.47,283.24,262.28,259.71,241.2,270.89,248.69,475.06,282.5,356.83,249,401.68,297.71,306.91,334.5,285.88,248.56,248.94,299.25,241.77,526.28,312.74,380.69,355.2,392.08,439.66,307.16,295.72,371.05,382.79,341.11,197.01,476.33,379.12,395.55,431.19,321.36,272.37,189.59,273.62,393.54,243.84,254.41,258.76,148.62,268.35,394.1,382.14,232.16,254.03,272.35,181.11,384.5,248.31,262.76,262.2,262.13,320.86,349.59,254.04,243.17,373.12,115.97,227.73,254.92
VERDE RIVER,363.26,346.72,300.62,315.79,985.7,582.54,568.09,591.05,508.74,358.13,577.15,465.5,432.27,520.44,596.81,601.41,483.65,515.47,677.32,500.21,525.1,517.62,550.97,349.89,448.74,482.18,633.25,328.13,354.46,534.07,638.51,451.48,391.69,349.38,502.43,511.79,452.96,461.84,419.62,632.93,715.41,305.65,428.8,462.44,412.08,462.99,323.27,332.01,520.77,264.9,561.87,556.99,302.45,460.38,461.17,216.23,599.16,539.48,513.6,385,411.87,374.41,428.69,407.14,825.38,395.93,531.13,379.93,507.01,479.05,424.1,541.24,430.58,389.67,386.86,469.44,394.8,802.34,457.9,618.15,489.71,677.6,731.27,505.73,538.2,540.92,548.19,462.64,302.02,553.12,554.33,722.34,698.9,438.14,490.25,331.7,496.8,591.47,417.9,438.06,407.56,254.43,427.78,535.53,546.48,332.83,385.1,492.64,282.38,604.09,377.7,380.75,476.62,392.89,503.38,475.69,393.61,414.85,576.43,238.33,495.17,413.03
