GWBasin,YEAR,mean_recharge
AGUA FRIA,1991,2.60245046722096
AGUA FRIA,1992,13.824378557853311
AGUA FRIA,1993,48.043958656342255
AGUA FRIA,1994,0
AGUA FRIA,1995,7.32116723227621
AGUA FRIA,1996,0
AGUA FRIA,1997,12.426259197844955
AGUA FRIA,1998,0
AGUA FRIA,1999,0
AGUA FRIA,2000,12.398061509042911
AGUA FRIA,2001,0
AGUA FRIA,2002,0.12167982606387802
AGUA FRIA,2003,5.518027850578194
AGUA FRIA,2004,0.20890909153209877
AGUA FRIA,2005,16.332559620369455
AGUA FRIA,2006,0
AGUA FRIA,2007,0
AGUA FRIA,2008,0
AGUA FRIA,2009,0
AGUA FRIA,2010,9.719680819622223
AGUA FRIA,2011,0
AGUA FRIA,2012,0
AGUA FRIA,2013,0
AGUA FRIA,2014,0
AGUA FRIA,2015,0
AGUA FRIA,2016,0
AGUA FRIA,2017,11.258676218666073
AGUA FRIA,2018,3.4343369525038923
AGUA FRIA,2019,3.7782362852134477
AGUA FRIA,2020,0
ARAVAIPA CANYON,1991,0
ARAVAIPA CANYON,1992,10.434225568281478
ARAVAIPA CANYON,1993,70.22127784515915
ARAVAIPA CANYON,1994,0
ARAVAIPA CANYON,1995,0
ARAVAIPA CANYON,1996,0
ARAVAIPA CANYON,1997,0
ARAVAIPA CANYON,1998,14.791539853604027
ARAVAIPA CANYON,1999,0
ARAVAIPA CANYON,2000,0
ARAVAIPA CANYON,2001,0
ARAVAIPA CANYON,2002,0
ARAVAIPA CANYON,2003,0
ARAVAIPA CANYON,2004,0
ARAVAIPA CANYON,2005,2.2570063321104037
ARAVAIPA CANYON,2006,0
ARAVAIPA CANYON,2007,0
ARAVAIPA CANYON,2008,0
ARAVAIPA CANYON,2009,0
ARAVAIPA CANYON,2010,0
ARAVAIPA CANYON,2011,0
ARAVAIPA CANYON,2012,0
ARAVAIPA CANYON,2013,0
ARAVAIPA CANYON,2014,0
ARAVAIPA CANYON,2015,0
ARAVAIPA CANYON,2016,0
ARAVAIPA CANYON,2017,0
ARAVAIPA CANYON,2018,0
ARAVAIPA CANYON,2019,0
ARAVAIPA CANYON,2020,0
BIG SANDY,1991,2.4633523262509778
BIG SANDY,1992,7.448437118370443
BIG SANDY,1993,53.32467753521567
BIG SANDY,1994,0
BIG SANDY,1995,0
BIG SANDY,1996,0
BIG SANDY,1997,0
BIG SANDY,1998,21.83446040507616
BIG SANDY,1999,0.9193551704452358
BIG SANDY,2000,10.98414453948454
BIG SANDY,2001,22.45222885590744
BIG SANDY,2002,2.3536874266738748
BIG SANDY,2003,9.193065963533224
BIG SANDY,2004,3.118050742160205
BIG SANDY,2005,31.808066267450513
BIG SANDY,2006,30.324884785400446
BIG SANDY,2007,0
BIG SANDY,2008,5.855626722918312
BIG SANDY,2009,0
BIG SANDY,2010,16.82245823179738
BIG SANDY,2011,13.469439746734167
BIG SANDY,2012,0
BIG SANDY,2013,0.9128292377135142
BIG SANDY,2014,26.09457393091816
BIG SANDY,2015,0
BIG SANDY,2016,15.74278854608746
BIG SANDY,2017,11.914654523431615
BIG SANDY,2018,0
BIG SANDY,2019,11.626218471492214
BIG SANDY,2020,0
BILL WILLIAMS,1991,0
BILL WILLIAMS,1992,12.727274448924495
BILL WILLIAMS,1993,59.06639815707535
BILL WILLIAMS,1994,0
BILL WILLIAMS,1995,20.782134774297834
BILL WILLIAMS,1996,0
BILL WILLIAMS,1997,18.03144285623443
BILL WILLIAMS,1998,43.489827481663006
BILL WILLIAMS,1999,9.821241506134365
BILL WILLIAMS,2000,36.54882491207616
BILL WILLIAMS,2001,29.2689783573576
BILL WILLIAMS,2002,0
BILL WILLIAMS,2003,25.19377221654911
BILL WILLIAMS,2004,13.239871657726912
BILL WILLIAMS,2005,23.73089736285012
BILL WILLIAMS,2006,14.479193522727806
BILL WILLIAMS,2007,0
BILL WILLIAMS,2008,29.24693048375325
BILL WILLIAMS,2009,0
BILL WILLIAMS,2010,28.044023056877915
BILL WILLIAMS,2011,0
BILL WILLIAMS,2012,0
BILL WILLIAMS,2013,0
BILL WILLIAMS,2014,16.677546964041674
BILL WILLIAMS,2015,0
BILL WILLIAMS,2016,17.56795091364492
BILL WILLIAMS,2017,28.132805661158383
BILL WILLIAMS,2018,0
BILL WILLIAMS,2019,11.275791199674485
BILL WILLIAMS,2020,0
BONITA CREEK,1991,0
BONITA CREEK,1992,0
BONITA CREEK,1993,21.681087285173774
BONITA CREEK,1994,0
BONITA CREEK,1995,0
BONITA CREEK,1996,0
BONITA CREEK,1997,0
BONITA CREEK,1998,0
BONITA CREEK,1999,0
BONITA CREEK,2000,0
BONITA CREEK,2001,0
BONITA CREEK,2002,16.909610679238174
BONITA CREEK,2003,2.1223647844372864
BONITA CREEK,2004,0
BONITA CREEK,2005,4.788634198215974
BONITA CREEK,2006,0
BONITA CREEK,2007,0
BONITA CREEK,2008,7.712262957789
BONITA CREEK,2009,0
BONITA CREEK,2010,7.584802351596045
BONITA CREEK,2011,0
BONITA CREEK,2012,0
BONITA CREEK,2013,0
BONITA CREEK,2014,0
BONITA CREEK,2015,0
BONITA CREEK,2016,0
BONITA CREEK,2017,0
BONITA CREEK,2018,0
BONITA CREEK,2019,0
BONITA CREEK,2020,0
BUTLER VALLEY,1991,0
BUTLER VALLEY,1992,0
BUTLER VALLEY,1993,30.24899481464731
BUTLER VALLEY,1994,0
BUTLER VALLEY,1995,14.443412652236542
BUTLER VALLEY,1996,0
BUTLER VALLEY,1997,0
BUTLER VALLEY,1998,23.632030343945587
BUTLER VALLEY,1999,12.558085001798895
BUTLER VALLEY,2000,16.163176843040134
BUTLER VALLEY,2001,3.5053537429485684
BUTLER VALLEY,2002,0
BUTLER VALLEY,2003,41.35389023751364
BUTLER VALLEY,2004,17.440299803119824
BUTLER VALLEY,2005,28.20490449412716
BUTLER VALLEY,2006,0
BUTLER VALLEY,2007,0
BUTLER VALLEY,2008,24.822304731497848
BUTLER VALLEY,2009,0
BUTLER VALLEY,2010,21.157567944483482
BUTLER VALLEY,2011,0
BUTLER VALLEY,2012,0
BUTLER VALLEY,2013,0
BUTLER VALLEY,2014,8.16533296554672
BUTLER VALLEY,2015,0
BUTLER VALLEY,2016,0
BUTLER VALLEY,2017,8.69339347029504
BUTLER VALLEY,2018,0
BUTLER VALLEY,2019,0
BUTLER VALLEY,2020,0
CIENEGA CREEK,1991,0
CIENEGA CREEK,1992,0
CIENEGA CREEK,1993,33.997032736944114
CIENEGA CREEK,1994,8.221711308946928
CIENEGA CREEK,1995,0
CIENEGA CREEK,1996,0
CIENEGA CREEK,1997,4.11433182273008
CIENEGA CREEK,1998,0.14680314577542927
CIENEGA CREEK,1999,0
CIENEGA CREEK,2000,16.480553145609072
CIENEGA CREEK,2001,12.439283975788175
CIENEGA CREEK,2002,0
CIENEGA CREEK,2003,0
CIENEGA CREEK,2004,0
CIENEGA CREEK,2005,0
CIENEGA CREEK,2006,0
CIENEGA CREEK,2007,2.219401678730056
CIENEGA CREEK,2008,0
CIENEGA CREEK,2009,0
CIENEGA CREEK,2010,0
CIENEGA CREEK,2011,0
CIENEGA CREEK,2012,0
CIENEGA CREEK,2013,0
CIENEGA CREEK,2014,0
CIENEGA CREEK,2015,0
CIENEGA CREEK,2016,0
CIENEGA CREEK,2017,0
CIENEGA CREEK,2018,0
CIENEGA CREEK,2019,0
CIENEGA CREEK,2020,0
COCONINO PLATEAU,1991,11.610205860319795
COCONINO PLATEAU,1992,35.01668872654183
COCONINO PLATEAU,1993,44.40710424590068
COCONINO PLATEAU,1994,7.4247239659550965
COCONINO PLATEAU,1995,11.25668824316878
COCONINO PLATEAU,1996,0
COCONINO PLATEAU,1997,15.48557544309808
COCONINO PLATEAU,1998,16.59646139360926
COCONINO PLATEAU,1999,10.558632528057775
COCONINO PLATEAU,2000,16.491319296105043
COCONINO PLATEAU,2001,9.481916339884995
COCONINO PLATEAU,2002,0
COCONINO PLATEAU,2003,2.9105200358830228
COCONINO PLATEAU,2004,11.563087461441718
COCONINO PLATEAU,2005,23.73366428815755
COCONINO PLATEAU,2006,13.387951367125833
COCONINO PLATEAU,2007,17.19091349123568
COCONINO PLATEAU,2008,17.397720614631147
COCONINO PLATEAU,2009,7.084603793229744
COCONINO PLATEAU,2010,20.224334101182436
COCONINO PLATEAU,2011,8.513851433424591
COCONINO PLATEAU,2012,0
COCONINO PLATEAU,2013,10.365463839808868
COCONINO PLATEAU,2014,0
COCONINO PLATEAU,2015,6.042500532254047
COCONINO PLATEAU,2016,42.15349298733077
COCONINO PLATEAU,2017,23.917458120446064
COCONINO PLATEAU,2018,11.042676443600172
COCONINO PLATEAU,2019,8.995630985602457
COCONINO PLATEAU,2020,0
DETRITAL VALLEY,1991,0
DETRITAL VALLEY,1992,1.4557497966130897
DETRITAL VALLEY,1993,16.169002311535245
DETRITAL VALLEY,1994,0
DETRITAL VALLEY,1995,0
DETRITAL VALLEY,1996,0
DETRITAL VALLEY,1997,0
DETRITAL VALLEY,1998,8.1326349228851
DETRITAL VALLEY,1999,2.7378126859853955
DETRITAL VALLEY,2000,0
DETRITAL VALLEY,2001,10.468582725660898
DETRITAL VALLEY,2002,0
DETRITAL VALLEY,2003,1.0437502978369007
DETRITAL VALLEY,2004,5.250526942733596
DETRITAL VALLEY,2005,21.08901169216757
DETRITAL VALLEY,2006,10.10382848415303
DETRITAL VALLEY,2007,0
DETRITAL VALLEY,2008,0
DETRITAL VALLEY,2009,0
DETRITAL VALLEY,2010,31.34972099323857
DETRITAL VALLEY,2011,9.730493039419116
DETRITAL VALLEY,2012,0
DETRITAL VALLEY,2013,3.831531935239138
DETRITAL VALLEY,2014,0.5331455230522023
DETRITAL VALLEY,2015,0
DETRITAL VALLEY,2016,18.02577368787924
DETRITAL VALLEY,2017,1.844340964586049
DETRITAL VALLEY,2018,0
DETRITAL VALLEY,2019,0
DETRITAL VALLEY,2020,0
DONNELLY WASH,1991,0
DONNELLY WASH,1992,30.125986820967707
DONNELLY WASH,1993,81.95540157093392
DONNELLY WASH,1994,9.515562206018078
DONNELLY WASH,1995,0
DONNELLY WASH,1996,24.51608882426194
DONNELLY WASH,1997,12.60463901463898
DONNELLY WASH,1998,37.90435552719172
DONNELLY WASH,1999,16.475665261787626
DONNELLY WASH,2000,0
DONNELLY WASH,2001,25.56698323293167
DONNELLY WASH,2002,0
DONNELLY WASH,2003,0
DONNELLY WASH,2004,0
DONNELLY WASH,2005,10.922572433440328
DONNELLY WASH,2006,0
DONNELLY WASH,2007,0
DONNELLY WASH,2008,19.009687312680498
DONNELLY WASH,2009,0
DONNELLY WASH,2010,47.62583408233884
DONNELLY WASH,2011,0
DONNELLY WASH,2012,0
DONNELLY WASH,2013,0
DONNELLY WASH,2014,21.785338416610458
DONNELLY WASH,2015,0
DONNELLY WASH,2016,0
DONNELLY WASH,2017,0.44710162378740825
DONNELLY WASH,2018,0
DONNELLY WASH,2019,0
DONNELLY WASH,2020,0
DOUGLAS,1991,0
DOUGLAS,1992,0
DOUGLAS,1993,52.196897323347734
DOUGLAS,1994,8.222504330282183
DOUGLAS,1995,0
DOUGLAS,1996,0
DOUGLAS,1997,0
DOUGLAS,1998,0
DOUGLAS,1999,0
DOUGLAS,2000,33.93193788902716
DOUGLAS,2001,0
DOUGLAS,2002,0
DOUGLAS,2003,0
DOUGLAS,2004,0
DOUGLAS,2005,0
DOUGLAS,2006,0
DOUGLAS,2007,0
DOUGLAS,2008,0
DOUGLAS,2009,0
DOUGLAS,2010,0
DOUGLAS,2011,0
DOUGLAS,2012,0
DOUGLAS,2013,3.2238213166780865
DOUGLAS,2014,47.14986975964165
DOUGLAS,2015,0
DOUGLAS,2016,0
DOUGLAS,2017,0
DOUGLAS,2018,0
DOUGLAS,2019,0
DOUGLAS,2020,0
DOUGLAS INA,1991,0
DOUGLAS INA,1992,0
DOUGLAS INA,1993,25.44304239621293
DOUGLAS INA,1994,8.481676243466861
DOUGLAS INA,1995,0
DOUGLAS INA,1996,0
DOUGLAS INA,1997,0
DOUGLAS INA,1998,0
DOUGLAS INA,1999,0
DOUGLAS INA,2000,40.50744022064326
DOUGLAS INA,2001,0
DOUGLAS INA,2002,0
DOUGLAS INA,2003,0
DOUGLAS INA,2004,0
DOUGLAS INA,2005,0
DOUGLAS INA,2006,0
DOUGLAS INA,2007,0
DOUGLAS INA,2008,0
DOUGLAS INA,2009,0
DOUGLAS INA,2010,0
DOUGLAS INA,2011,0
DOUGLAS INA,2012,0
DOUGLAS INA,2013,23.689059345983814
DOUGLAS INA,2014,61.765083849679975
DOUGLAS INA,2015,0
DOUGLAS INA,2016,0
DOUGLAS INA,2017,0
DOUGLAS INA,2018,0
DOUGLAS INA,2019,0
DOUGLAS INA,2020,0
DRIPPING SPRING WASH,1991,0
DRIPPING SPRING WASH,1992,42.636571574313386
DRIPPING SPRING WASH,1993,74.52386121885957
DRIPPING SPRING WASH,1994,10.241873678857432
DRIPPING SPRING WASH,1995,0
DRIPPING SPRING WASH,1996,0
DRIPPING SPRING WASH,1997,4.663857555830595
DRIPPING SPRING WASH,1998,12.839028040670403
DRIPPING SPRING WASH,1999,0
DRIPPING SPRING WASH,2000,0
DRIPPING SPRING WASH,2001,0
DRIPPING SPRING WASH,2002,0
DRIPPING SPRING WASH,2003,0
DRIPPING SPRING WASH,2004,0
DRIPPING SPRING WASH,2005,31.148228401038686
DRIPPING SPRING WASH,2006,0
DRIPPING SPRING WASH,2007,0
DRIPPING SPRING WASH,2008,1.3298199134819944
DRIPPING SPRING WASH,2009,0
DRIPPING SPRING WASH,2010,43.23007404734169
DRIPPING SPRING WASH,2011,0
DRIPPING SPRING WASH,2012,3.5570999011872755
DRIPPING SPRING WASH,2013,0
DRIPPING SPRING WASH,2014,0
DRIPPING SPRING WASH,2015,0
DRIPPING SPRING WASH,2016,0
DRIPPING SPRING WASH,2017,0
DRIPPING SPRING WASH,2018,0
DRIPPING SPRING WASH,2019,0
DRIPPING SPRING WASH,2020,0
DUNCAN VALLEY,1991,7.506344221027887
DUNCAN VALLEY,1992,0
DUNCAN VALLEY,1993,8.178912934706817
DUNCAN VALLEY,1994,0
DUNCAN VALLEY,1995,0
DUNCAN VALLEY,1996,0
DUNCAN VALLEY,1997,8.535964217025981
DUNCAN VALLEY,1998,2.3288444797543018
DUNCAN VALLEY,1999,0
DUNCAN VALLEY,2000,0
DUNCAN VALLEY,2001,0
DUNCAN VALLEY,2002,11.283943726639711
DUNCAN VALLEY,2003,0
DUNCAN VALLEY,2004,0
DUNCAN VALLEY,2005,17.615798608534305
DUNCAN VALLEY,2006,0
DUNCAN VALLEY,2007,3.107720394164447
DUNCAN VALLEY,2008,0
DUNCAN VALLEY,2009,0
DUNCAN VALLEY,2010,15.15183892455121
DUNCAN VALLEY,2011,0
DUNCAN VALLEY,2012,0
DUNCAN VALLEY,2013,0
DUNCAN VALLEY,2014,0
DUNCAN VALLEY,2015,0
DUNCAN VALLEY,2016,0
DUNCAN VALLEY,2017,0
DUNCAN VALLEY,2018,0
DUNCAN VALLEY,2019,0
DUNCAN VALLEY,2020,0
GILA BEND,1991,0
GILA BEND,1992,0
GILA BEND,1993,19.004821507820303
GILA BEND,1994,0
GILA BEND,1995,0
GILA BEND,1996,0
GILA BEND,1997,1.773667287433277
GILA BEND,1998,24.178468150947474
GILA BEND,1999,4.451997025770537
GILA BEND,2000,0
GILA BEND,2001,0
GILA BEND,2002,0
GILA BEND,2003,11.708917557803643
GILA BEND,2004,0
GILA BEND,2005,8.203144967227715
GILA BEND,2006,1.3151301162252382
GILA BEND,2007,0
GILA BEND,2008,2.052186479728834
GILA BEND,2009,0
GILA BEND,2010,0
GILA BEND,2011,0
GILA BEND,2012,0
GILA BEND,2013,1.3818047876124928
GILA BEND,2014,0.5854443572044545
GILA BEND,2015,0
GILA BEND,2016,0
GILA BEND,2017,0
GILA BEND,2018,10.312357554432664
GILA BEND,2019,0
GILA BEND,2020,2.6421321847741037
GRAND WASH,1991,0
GRAND WASH,1992,11.113125902141219
GRAND WASH,1993,38.38899987909899
GRAND WASH,1994,0
GRAND WASH,1995,11.487067504046944
GRAND WASH,1996,0
GRAND WASH,1997,0
GRAND WASH,1998,27.293276534002764
GRAND WASH,1999,0
GRAND WASH,2000,3.3534993215229374
GRAND WASH,2001,25.894721346543896
GRAND WASH,2002,0
GRAND WASH,2003,0
GRAND WASH,2004,9.759969540543619
GRAND WASH,2005,34.96885383540741
GRAND WASH,2006,20.190316574313076
GRAND WASH,2007,0
GRAND WASH,2008,2.9770648331336806
GRAND WASH,2009,0
GRAND WASH,2010,70.21742238650553
GRAND WASH,2011,0
GRAND WASH,2012,0
GRAND WASH,2013,0
GRAND WASH,2014,0
GRAND WASH,2015,0
GRAND WASH,2016,45.74535800509637
GRAND WASH,2017,2.437763304228007
GRAND WASH,2018,0
GRAND WASH,2019,0
GRAND WASH,2020,0
HARQUAHALA INA,1991,0
HARQUAHALA INA,1992,0
HARQUAHALA INA,1993,15.043021455133427
HARQUAHALA INA,1994,0
HARQUAHALA INA,1995,0
HARQUAHALA INA,1996,0
HARQUAHALA INA,1997,0
HARQUAHALA INA,1998,5.295540843550978
HARQUAHALA INA,1999,0.05988436626616497
HARQUAHALA INA,2000,9.528375449445207
HARQUAHALA INA,2001,0
HARQUAHALA INA,2002,0
HARQUAHALA INA,2003,16.844314186865642
HARQUAHALA INA,2004,0
HARQUAHALA INA,2005,22.827584793566785
HARQUAHALA INA,2006,0
HARQUAHALA INA,2007,0
HARQUAHALA INA,2008,7.174691134959729
HARQUAHALA INA,2009,0
HARQUAHALA INA,2010,16.932483920797736
HARQUAHALA INA,2011,0
HARQUAHALA INA,2012,0
HARQUAHALA INA,2013,9.558445081007957
HARQUAHALA INA,2014,0
HARQUAHALA INA,2015,0
HARQUAHALA INA,2016,0
HARQUAHALA INA,2017,5.675110926391115
HARQUAHALA INA,2018,0
HARQUAHALA INA,2019,0
HARQUAHALA INA,2020,0
HUALAPAI VALLEY,1991,0
HUALAPAI VALLEY,1992,0
HUALAPAI VALLEY,1993,52.23805394402488
HUALAPAI VALLEY,1994,0
HUALAPAI VALLEY,1995,0
HUALAPAI VALLEY,1996,0
HUALAPAI VALLEY,1997,0
HUALAPAI VALLEY,1998,14.372785560443965
HUALAPAI VALLEY,1999,0
HUALAPAI VALLEY,2000,0
HUALAPAI VALLEY,2001,16.02656188730267
HUALAPAI VALLEY,2002,3.6660025768591282
HUALAPAI VALLEY,2003,1.7629671825403903
HUALAPAI VALLEY,2004,0
HUALAPAI VALLEY,2005,32.76192738766924
HUALAPAI VALLEY,2006,16.983154508431824
HUALAPAI VALLEY,2007,0
HUALAPAI VALLEY,2008,1.407389505010334
HUALAPAI VALLEY,2009,0
HUALAPAI VALLEY,2010,50.4790783576096
HUALAPAI VALLEY,2011,14.958953578741067
HUALAPAI VALLEY,2012,0
HUALAPAI VALLEY,2013,5.692028602145701
HUALAPAI VALLEY,2014,16.986698011862416
HUALAPAI VALLEY,2015,0
HUALAPAI VALLEY,2016,36.52118188949549
HUALAPAI VALLEY,2017,13.227751730413239
HUALAPAI VALLEY,2018,0
HUALAPAI VALLEY,2019,0
HUALAPAI VALLEY,2020,0
JOSEPH CITY INA,1991,0
JOSEPH CITY INA,1992,8.791856465632813
JOSEPH CITY INA,1993,0
JOSEPH CITY INA,1994,0
JOSEPH CITY INA,1995,0
JOSEPH CITY INA,1996,0
JOSEPH CITY INA,1997,3.4084077768654177
JOSEPH CITY INA,1998,0
JOSEPH CITY INA,1999,0
JOSEPH CITY INA,2000,0
JOSEPH CITY INA,2001,0
